State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Texas;Female;Horatio Alger State Scholarship - Texas;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Texas;Female;Horatio Alger State Scholarship - Texas (John Hardin Hudiburg);$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Texas;Female;Horatio Alger State Scholarship - Texas (Waranch);$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Texas;Female;Horatio Alger State Scholarship - Texas - Fort Worth;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Texas;Female;Terry Freshmen Scholarship;Varies;The Terry Freshman Scholarship is intended to provide scholarships up to the cost of attendance to outstanding students.;http://scholarships.tamu.edu/Scholarship-Programs/Terry-Foundation-Scholars;Generic;Any Major
Texas;Female;Regents' Scholarship;$5,000;The Regents' Scholarship is designed to assist first-generation college students in achieving their educational goals at Texas A&M University.;https://scholarships.tamu.edu/Scholarship-Programs/Regents-Scholars;Generic;Any Major
Texas;Female;Unrestricted Endowed Presidential Scholarships;$2,500;"
The Unrestricted Endowed Presidential Scholarships are for students enrolled for 15 hours per semester and are open to students of any major at the University of Texas at Austin.";http://sites.utexas.edu/texasscholarships/ofa-run/ueps/;Generic;Any Major
Texas;Female;"""Every Drop Counts"" Earth Science Scholarship";$10,000;"
Applicant must currently be a US citizen, Texas resident, and accepted to or enrolled in a four year, accredited college or university or earth/environmental science graduate study program with the intention of studying earth/environmental sciences.";http://www.nestle-watersna.com/Content/Documents/pdfs/Ozarka_Every_Drop_Counts_Application_2018.pdf;Generic;"
Earth Science/Geology"
Texas;Female;Fifth Year Accounting Student Scholarship Program;$5,000;"This program seeks to promote the professional and educational needs of Texas; increase the number of highly trained and educated professional accountants available to serve the residents of this state; improve the state's business environment and encourage economic development and financial stability; and identify, recognize and support outstanding scholars who plan to pursue careers in accounting.";http://discoverbcfs.net/texasetv;Generic;Finance/Accounting
Texas;Female;Texas Educational Opportunity Grant Program (TEOG);Varies;"
The TEOG provides grant aid to financially needy students enrolled in Texas public two-year colleges.";http://www.collegeforalltexans.com/apps/financialaid/tofa2.cfm?ID=529;Generic;Any Major
Texas;Female;TEXAS Grant;Varies;The Texas Legislature established the TEXAS (Towards EXcellence, Access and Success) Grant to make sure that well-prepared high school graduates with financial need could go to college.;http://www.collegeforalltexans.com/apps/financialaid/tofa2.cfm?ID=458;Generic;Any Major
Texas;Female;Texas Public Educational Grant;Varies;This program provides grant assistance to students with financial need.;http://www.collegeforalltexans.com/apps/financialaid/tofa2.cfm?ID=406;Generic;Any Major
Texas;Female;Top 10 Percent Scholarship;Varies;The Top 10 Percent Scholarship encourages and assists students who graduate in the top 10 percent of their high school class to attend a Texas public institution of higher education.;http://www.collegeforalltexans.com/apps/financialaid/tofa2.cfm?ID=385;Generic;Any Major
Texas;Female;Tuition Equalization Grant Program;"Varies
";"
To provide grant aid to financially needy students to enable them to attend private, non-profit colleges or universities in Texas.";Tuition Equalization Grant Program;Generic;Any Major
Utah;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Utah;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Utah;Male;Horatio Alger State Scholarship - Utah;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Utah;Male;New Century Scholarship;Varies;"
The New Century Scholarship encourages Utah high school students to accelerate their education by earning an associate degree in high school from an institution within the Utah System of Higher Education or completing a specific math and science curriculum. The scholarship may be used at any four-year public college or university in the Utah System of Higher Education, as well as at Brigham Young University - Provo, and Westminster College.";https://stepuputah.com/newcenturyscholarship/;Generic;Biology, Earth Science/Geology
Utah;Male;Regents' Scholarship;Varies;"
The Regents' Scholarship encourages Utah high school students to prepare for college academically and financially by taking a core course of study and saving for college. The scholarship may be used at any public college or university in the Utah System of Higher Education, as well as at Brigham Young University - Provo, LDS Business College, and Westminster College.";https://stepuputah.com/regentsscholarship/;Generic;Any Major
Utah;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Utah;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Utah;Female;Horatio Alger State Scholarship - Utah;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Utah;Female;New Century Scholarship;Varies;"
The New Century Scholarship encourages Utah high school students to accelerate their education by earning an associate degree in high school from an institution within the Utah System of Higher Education or completing a specific math and science curriculum. The scholarship may be used at any four-year public college or university in the Utah System of Higher Education, as well as at Brigham Young University - Provo, and Westminster College.";https://stepuputah.com/newcenturyscholarship/;Generic;Biology, Earth Science/Geology
Utah;Female;Regents' Scholarship;Varies;"
The Regents' Scholarship encourages Utah high school students to prepare for college academically and financially by taking a core course of study and saving for college. The scholarship may be used at any public college or university in the Utah System of Higher Education, as well as at Brigham Young University - Provo, LDS Business College, and Westminster College.";https://stepuputah.com/regentsscholarship/;Generic;Any Major
Vermont;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Vermont;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Vermont;Male;Horatio Alger State Scholarship - Vermont;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Vermont;Male;$4,000 Champlain Visit Scholarship;$4,000;Make an official campus visit to Champlain and receive a $4,000 scholarship toward the cost of your Champlain tuitionó$1,000 for each year you are enrolled at Champlain.;https://www.champlain.edu/admissions/undergraduate-admissions/visits-and-events/champlain-visit-scholarship?utm_source=niche.com&utm_medium=paidsearch&utm_campaign=niche.com_scholarship_test;Generic;Any Major
Vermont;Male;Vermont Incentive Grant;Varies;"
This grant assists Vermont residents taking 12 or more credits per term in a degree or certificate program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Vermont;Male;Vermont Non-Degree Grant;Varies;"
This grant assists Vermont residents enrolled in a non-degree course or program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Vermont;Male;Vermont Part-Time Grant;Varies;"
This grant assists Vermont residents taking fewer than 12 credits per term in a degree or certificate program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Vermont;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Vermont;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Vermont;Female;Horatio Alger State Scholarship - Vermont;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Vermont;Female;$4,000 Champlain Visit Scholarship;$4,000;Make an official campus visit to Champlain and receive a $4,000 scholarship toward the cost of your Champlain tuitionó$1,000 for each year you are enrolled at Champlain.;https://www.champlain.edu/admissions/undergraduate-admissions/visits-and-events/champlain-visit-scholarship?utm_source=niche.com&utm_medium=paidsearch&utm_campaign=niche.com_scholarship_test;Generic;Any Major
Vermont;Female;Vermont Incentive Grant;Varies;"
This grant assists Vermont residents taking 12 or more credits per term in a degree or certificate program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Vermont;Female;Vermont Non-Degree Grant;Varies;"
This grant assists Vermont residents enrolled in a non-degree course or program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Vermont;Female;Vermont Part-Time Grant;Varies;"
This grant assists Vermont residents taking fewer than 12 credits per term in a degree or certificate program.";https://www.vsac.org/pay/student-aid-options/grants;Generic;Any Major
Virginia;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Virginia;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Virginia;Male;Horatio Alger State Scholarship - DC, Maryland, Virginia;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Virginia;Male;Civil Engineering Scholarship Program;$3,500;"
The Civil Engineering Scholarship Program (CESP) provides civil engineering students the opportunity to gain valuable, real-world work experience, earn money over the summer and receive stipends to assist with educational expenses.";http://www.virginiadot.org/jobs/engscholarprog.asp;Generic;Any Major
Virginia;Male;Undergraduate STEM Research Scholarship Program;$8,500;The VSGC Undergraduate STEM Research Scholarship Program provides awards of up to $8,500 to rising juniors and seniors who are enrolled full-time in a program of study in science, technology, engineering, or math (STEM) and have a specific faculty-mentored research project that has NASA or aerospace relevance.;http://www.vsgc.odu.edu/sf/undergrad/;Generic;"
Education"
Virginia;Male;Brown v. Board of Education Scholarship;Varies;"
The Brown v. Board of Education Scholarship Program was established in accordance with 30-231.8 of the Code of Virginia for the purpose of providing a public education to persons who were denied an education in the public schools of Virginia between 1954 and 1964, in jurisdictions in which the public schools were closed to avoid desegregation.";http://brownscholarship.virginia.gov/;Generic;Any Major
